fix,lat,lon
10697,37.748086,-078.406117
10699,36.936564,-077.837106
10702,39.409603,-076.952978
10716,39.880164,-075.597872
10724,39.823694,-086.611472
10725,39.769989,-086.578333
10730,38.759356,-086.440183
10737,39.906744,-084.630481
10739,39.929528,-084.102742
10740,39.330939,-085.497442
10743,38.737639,-085.952167
10749,40.800911,-083.875800
10750,40.588886,-083.525397
10751,40.563531,-082.444414
10752,40.587422,-082.019897
10759,38.740217,-082.396625
10760,38.423778,-082.354678
10765,39.998222,-081.913500
10767,40.004736,-081.595178
10769,39.434850,-081.843247
10770,39.580656,-081.241306
10771,39.203144,-080.564317
10774,38.787978,-081.156586
10777,40.592717,-083.944022
10780,43.241500,-084.463464
10786,43.783494,-082.158489
10787,43.520972,-083.732828
10788,43.403081,-082.217825
10789,43.251244,-083.681431
10790,43.203028,-082.321272
10791,42.999167,-083.633806
10792,42.947528,-083.624111
10795,42.406756,-083.523436
10800,41.695769,-082.789183
10808,42.800444,-081.719694
10809,42.754067,-081.324017
10810,42.331564,-081.581933
10812,42.124639,-081.706889
10814,41.917592,-081.830939
10818,41.553522,-081.479006
10822,40.870503,-081.144767
10826,40.393861,-080.182000
10830,40.012722,-080.156167
10831,39.521778,-080.134297
10833,39.500500,-080.133047
10840,42.413144,-078.474714
10843,42.375839,-078.583189
10844,42.342117,-078.680861
10845,42.315592,-078.576386
10846,42.278286,-078.430325
10847,42.276592,-078.423686
10848,42.275869,-078.429547
10849,42.258508,-078.569942
10852,41.575589,-078.493769
10853,41.539533,-078.190617
10856,41.208392,-078.085003
10857,40.969667,-078.427547
10858,40.658314,-078.394017
10859,40.703200,-078.398822
10860,40.698172,-078.332347
10864,40.003378,-079.414867
10865,40.002989,-079.390367
10867,39.743839,-078.297233
10868,39.510333,-080.118714
10869,43.112064,-076.765758
10870,43.044639,-077.497500
10871,42.994647,-076.725256
10873,42.891647,-077.043525
10874,42.879622,-076.667031
10875,42.872361,-077.102778
10876,42.702778,-076.719361
10878,42.446000,-076.966000
10883,41.994572,-077.347342
10885,41.473317,-077.691319
10886,41.184806,-077.899750
10887,40.670536,-077.975697
10889,39.968006,-077.846528
10893,42.892778,-083.613833
10894,41.009694,-078.022144
10895,40.927083,-078.079758
10896,40.839697,-078.112369
10897,42.565708,-076.693197
10899,42.466958,-076.773231
10901,42.493667,-076.522972
10905,41.951322,-077.186472
10909,41.456706,-077.575481
10910,41.367575,-076.967853
10911,41.171842,-077.796408
10912,41.134317,-077.501900
10921,42.022694,-075.414703
10931,42.371983,-107.994556
10960,41.135181,-072.081464
10962,45.137286,-074.486369
10963,45.022542,-074.288306
10964,44.747167,-075.726464
10978,43.033656,-073.920733
10979,43.023269,-073.764314
10984,45.400631,-070.887408
10985,43.229881,-071.909192
10990,41.646469,-070.348661
10992,45.698200,-067.789175
10993,45.582192,-068.581944
10996,43.572011,-066.999406
10997,43.264183,-066.999400
11004,42.987942,-079.840483
11007,44.703167,-075.981139
11008,45.331842,-074.278119
11009,45.074042,-074.078422
11015,48.499783,-124.912333
11018,35.979122,-108.560969
11021,34.369456,-110.480036
11040,33.572675,-107.745067
11041,32.861456,-105.588203
11042,32.686028,-105.159722
11043,32.127167,-103.828750
11044,32.994153,-107.855675
11045,42.553783,-093.097922
11046,42.116681,-093.281067
11047,41.489294,-093.498572
11048,41.350722,-093.536806
11049,41.322631,-093.546686
11050,40.663117,-093.515022
11059,38.679153,-117.299228
11061,34.883636,-110.325567
11062,34.882425,-113.670189
11064,35.047014,-112.460589
11065,35.164653,-111.538794
11071,34.834186,-110.962414
11075,34.679089,-109.794219
11076,34.559311,-110.058086
11078,35.571361,-107.206322
11081,35.347814,-107.040314
11086,34.885167,-102.256306
11087,34.726972,-101.571092
11088,34.664944,-101.307528
11089,34.518169,-100.694992
11090,35.784417,-102.202694
11091,35.764222,-100.842833
11092,35.692378,-100.000392
11098,44.882375,-102.653556
11099,46.445214,-084.715694
11100,46.339853,-084.476156
11101,46.286794,-084.406511
11102,46.201461,-084.270419
11173,47.120894,-115.000964
11174,47.452767,-115.000969
11177,39.977528,-117.453331
11178,38.796486,-117.170975
11180,38.168656,-117.065103
11181,36.927047,-118.584267
11182,36.584578,-118.584261
11184,35.688356,-120.328178
11187,45.655081,-103.167119
11188,41.710406,-106.596831
11189,41.522353,-106.502856
11190,40.353147,-110.360156
11191,39.356019,-111.202781
11194,41.949364,-099.022569
11195,40.798983,-099.046003
11196,39.916344,-099.063472
11200,35.735772,-111.847600
11202,35.883353,-111.772431
11203,37.138158,-111.120678
11204,35.511958,-109.774917
11206,41.977864,-099.021961
11207,42.308642,-099.015044
11208,34.398406,-113.617431
11209,33.761831,-114.000775
1120N,11.000000,-020.000000
11210,33.540253,-114.000769
11211,33.525169,-114.000769
11212,35.001175,-113.447292
11213,34.759011,-113.617436
11214,36.762328,-102.518381
11215,34.439572,-102.304744
11216,31.532156,-104.083806
11219,36.461472,-100.753900
11220,35.268622,-095.000231
11222,31.954800,-092.748511
11223,31.557644,-093.330114
11229,31.642861,-090.169225
11230,31.365472,-087.546461
11231,42.612642,-093.277203
11232,43.901547,-085.073669
11233,44.678019,-089.749956
11234,42.273736,-084.951842
11235,42.081767,-084.999969
11238,41.781992,-084.773733
11241,41.299689,-084.741039
11242,41.070908,-084.705706
11243,40.217286,-087.334567
11247,40.160850,-090.280983
11250,40.893917,-093.528047
11251,41.083136,-093.578047
11253,42.307983,-093.337789
11256,42.030847,-093.392403
11257,42.428481,-093.313897
11259,32.174603,-110.187208
11260,36.582792,-093.963867
11266,33.962908,-087.570792
11273,39.654614,-078.600597
11278,33.506389,-084.378978
11279,42.154572,-077.248503
11280,42.831028,-079.946903
11281,43.347111,-082.253186
11282,41.627789,-077.578178
11284,40.597122,-077.916639
11285,41.191506,-077.894800
11291,33.345467,-103.800511
11296,31.921344,-107.778889
11297,32.012653,-106.796608
11298,31.977794,-106.494183
11299,31.945550,-105.861972
11302,30.573561,-101.601728
11303,28.697819,-088.006572
11304,28.821344,-088.008044
11305,43.927575,-085.082200
11307,38.763269,-087.935672
1130N,11.000000,-030.000000
11313,27.998411,-084.960197
11315,43.467386,-082.196100
11316,42.957136,-079.467831
11317,42.419017,-076.938906
11318,33.319206,-108.045517
11320,33.331147,-108.318553
11323,40.311006,-083.071575
11324,40.320394,-082.529467
11326,40.330039,-081.677317
11327,40.332897,-081.127767
11328,40.331750,-080.177750
11329,40.331014,-080.057247
11330,40.318100,-078.915331
11332,40.312106,-077.865467
11333,40.308914,-077.553292
11334,41.001750,-120.956575
11335,35.726489,-119.992108
11338,33.530975,-092.566406
11340,31.737192,-090.661542
11341,43.072342,-091.379886
11343,32.727353,-087.864511
11344,33.579278,-087.717928
11345,33.464158,-103.638897
11360,65.837558,-164.730244
11379,59.592833,-136.823556
11380,59.412611,-135.200333
11383,54.619506,-131.106075
11384,54.519900,-131.648947
11386,54.508194,-133.022358
11387,61.561722,-140.495917
11388,62.471167,-141.000000
11389,62.672167,-141.000000
11399,31.243414,-082.260844
11400,45.954261,-070.244767
11401,46.023967,-068.403892
11402,46.070392,-067.300444
11403,42.598036,-084.974714
11409,33.869019,-093.178861
11410,34.300597,-093.573214
11414,40.683100,-084.967633
11416,40.209675,-087.364261
11417,40.832675,-087.181075
11419,42.177625,-084.995031
11426,36.438256,-085.464775
11427,37.093244,-085.855750
11428,32.906903,-087.928597
11429,37.299189,-086.207194
11430,35.710067,-085.631672
11432,36.276567,-085.044706
11435,36.958408,-080.413772
11436,36.209439,-079.981231
11437,33.996483,-082.278986
11438,36.739725,-083.201119
11439,32.013608,-084.237381
11441,32.179006,-082.958894
11443,34.560669,-080.928331
11444,37.048350,-080.466356
11445,36.682050,-080.253081
11447,37.008636,-082.063628
11448,34.062761,-082.123064
11450,29.001678,-081.389369
